  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.512446                  1.0409                              1.59664                           1.16904                                      1.86568                  103                           212                           128                                    264
              0.372597                  0.92981                             1.81433                           1.0092                                       1.73705                  150                           387                           171                                    366
              0.622101                  1.10315                             1.66157                           1.23031                                      1.84234                   77                           167                            98                                    196
              0.430392                  1.14334                             1.62199                           1.22793                                      1.84433                  166                           277                           185                                    329
              0.434251                  1.05293                             1.71163                           1.04731                                      1.71823                  142                           294                           141                                    296
              0.385113                  1.22911                             1.68879                           1.38365                                      1.73999                  219                           339                           259                                    352
              0.424329                  1.27345                             1.61463                           1.2303                                       1.73295                  200                           281                           190                                    308
              0.615648                  1.04644                             1.7066                            1.15137                                      1.93102                   70                           177                            87                                    214
              0.328635                  1.05922                             1.84334                           1.22892                                      1.84331                  222                           461                           274                                    461
              0.328215                  1.02264                             2.15019                           1.2293                                       1.84259                  212                           555                           275                                    461
              0.437729                  1.22904                             1.68882                           1.07582                                      1.66285                  181                           286                           146                                    280
              0.570109                  1.14317                             1.6223                            1.22825                                      1.84371                  101                           185                           115                                    223
              0.641256                  0.921278                            1.84343                           1.22919                                      1.8433                    44                           187                            92                                    187
              0.33343                   1.04387                             1.75101                           1.01329                                      1.73516                  213                           425                           204                                    420
              0.566439                  0.971649                            1.79317                           1.22932                                      1.62645                   72                           217                           117                                    187
              0.362451                  1.22949                             1.84318                           0.921587                                     1.84307                  239                           409                           154                                    409
              0.659823                  1.22894                             1.84308                           1.22891                                      1.84311                   86                           179                            86                                    179
              0.394953                  1.22929                             1.84278                           1.22868                                      1.7359                   211                           367                           211                                    340
              0.522093                  1.22916                             1.84276                           1.22923                                      1.84363                  135                           253                           135                                    253
              0.613934                  1.22881                             1.84303                           1.22886                                      1.84317                  100                           200                           100                                    200
              0.544766                  0.959154                            1.80562                           1.22882                                      1.84321                   76                           231                           126                                    238
              0.317329                  1.06031                             1.84335                           1.22859                                      1.8452                   234                           481                           287                                    481
              0.455893                  1.03115                             2.04111                           1.22876                                      1.53624                  126                           348                           170                                    237
              0.472282                  0.921851                            1.84325                           1.22875                                      1.84317                   95                           290                           160                                    290
              0.457337                  1.22918                             1.84311                           1.22858                                      1.79209                  169                           303                           169                                    292
              0.448971                  1.22915                             1.84306                           1.22888                                      1.84323                  174                           311                           174                                    311
              0.445222                  1.22861                             1.76825                           1.11413                                      1.60239                  176                           297                           150                                    260
              0.322189                  0.941345                            2.04657                           1.22916                                      1.84276                  192                           535                           282                                    472
              0.353594                  1.30651                             1.84305                           1.22904                                      1.84299                  269                           421                           248                                    421
              0.432755                  1.22953                             1.42029                           1.34413                                      1.61324                  184                           228                           211                                    273
              0.389534                  0.921552                            1.84383                           1.18522                                      1.64201                  137                           373                           204                                    322
              0.310188                  0.939829                            1.91307                           1.22871                                      1.84354                  203                           517                           296                                    494
              0.434149                  1.11735                             1.64758                           1.22845                                      1.84345                  157                           279                           183                                    325
              0.613609                  0.941781                            1.82326                           1.22905                                      1.65879                   53                           197                           100                                    170
              0.587494                  0.931764                            1.83187                           1.53716                                      1.84343                   59                           212                           162                                    214
              0.485836                  1.22865                             1.84295                           1.22909                                      1.84403                  153                           279                           153                                    280
              0.416409                  1.22928                             1.63702                           0.986832                                     1.98346                  195                           293                           137                                    376
              0.280786                  1.1229                              1.84307                           1.2288                                       1.56023                  300                           556                           338                                    456
              0.358569                  1.07734                             1.99497                           1.22833                                      1.8437                   200                           456                           243                                    414
              0.476337                  1.2295                              1.72226                           1.34872                                      1.86382                  158                           262                           183                                    291
              0.396019                  0.968128                            1.84325                           1.22896                                      1.84307                  144                           365                           210                                    365
              0.530683                  1.22888                             1.8428                            1.22895                                      1.53608                  132                           247                           132                                    189
              0.417949                  1.02742                             1.65261                           1.05002                                      1.53168                  146                           295                           151                                    266
              0.419292                  1.02208                             2.05032                           1.22799                                      1.65793                  144                           389                           193                                    295
              0.315583                  0.973699                            1.66473                           1.049                                        1.84399                  209                           428                           232                                    484
              0.487401                  1.22863                             1.84349                           1.22938                                      1.707                    152                           278                           152                                    250
              0.334372                  1.22626                             1.84307                           1.22857                                      1.84392                  267                           451                           267                                    451
              0.348196                  1.22894                             1.84316                           1.19736                                      1.87484                  253                           429                           244                                    438
              0.465961                  1.22931                             1.53852                           1.22625                                      1.68625                  164                           230                           163                                    262
              0.348605                  0.955116                            1.7679                            1.22849                                      1.84367                  174                           407                           252                                    429
              0.354191                  1.04606                             1.84352                           1.22807                                      1.77506                  195                           420                           247                                    401
              0.329862                  1.12609                             1.60919                           1.08652                                      1.58411                  241                           388                           229                                    380
              0.481072                  1.22855                             1.68628                           1.07795                                      1.84429                  155                           251                           124                                    283
              0.286878                  0.953994                            1.90343                           1.22904                                      1.5362                   233                           563                           328                                    435
              0.459551                  0.921736                            1.84355                           1.22863                                      1.84346                  101                           301                           167                                    301
              0.426428                  0.921639                            1.53651                           1.18684                                      1.88506                  116                           260                           178                                    342
              0.455279                  1.22872                             1.84355                           1.2285                                       1.84355                  170                           305                           170                                    305
              0.442893                  1.22895                             1.53602                           1.22892                                      1.84312                  177                           247                           177                                    316
              0.439116                  1.22929                             1.63272                           1.13186                                      1.84296                  180                           272                           158                                    320
              0.462369                  1.22933                             1.57916                           1.18581                                      1.84308                  166                           242                           156                                    299
              0.663612                  1.22833                             1.84348                           1.01854                                      1.74638                   85                           178                            53                                    163
              0.388433                  1.22896                             1.5358                            1.0096                                       1.75565                  216                           295                           160                                    352
              0.451716                  1.11498                             1.95719                           1.22947                                      1.74058                  147                           333                           172                                    285
              0.346662                  1.02413                             1.74075                           1.02408                                      1.63845                  195                           402                           195                                    373
              0.328852                  1.02957                             1.63888                           1.02393                                      1.63837                  213                           398                           211                                    398
              0.334734                  0.945188                            1.63883                           1.02406                                      1.63845                  182                           390                           206                                    389
              0.403431                  1.02418                             1.63978                           1.01975                                      1.50874                  154                           306                           153                                    274
              0.381704                  1.02404                             1.74066                           1.02402                                      1.63856                  168                           356                           168                                    329
              0.339867                  1.02394                             1.67942                           0.982781                                     1.63872                  201                           394                           189                                    382
              0.326641                  1.02372                             1.843                             1.02473                                      1.50554                  213                           464                           214                                    361
              0.39488                   1.0245                              1.74074                           1.22891                                      1.73997                  159                           341                           211                                    341
              0.425718                  1.02442                             1.59118                           0.969747                                     1.57585                  141                           274                           128                                    270
              0.406312                  1.0242                              1.74042                           1.02412                                      1.63871                  152                           328                           152                                    303
              0.347604                  1.02411                             1.66227                           0.999793                                     1.63846                  195                           378                           188                                    371
              0.330019                  1.02468                             1.74025                           1.05663                                      1.66369                  210                           427                           220                                    404
              0.302475                  1.0099                              1.74084                           1.12672                                      1.74088                  234                           476                           273                                    476
              0.435224                  1.02399                             1.63867                           1.0237                                       1.63884                  135                           277                           135                                    277
              0.353341                  1.12568                             1.74085                           1.22951                                      1.53595                  219                           393                           248                                    335
