  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.651298                  1.2283                              1.84289                           1.19743                                     0.724388                   89                           183                            84                                     11
              0.561701                  1.09412                             1.67077                           1.53642                                     0.921182                   95                           197                           174                                     64
              0.463385                  1.36786                             1.84238                           1.17464                                     0.975487                  195                           298                           153                                    111
              0.464809                  1.22873                             1.8429                            1.15319                                     0.689843                  164                           296                           148                                     48
              0.34754                   0.997917                            1.93898                           1.17159                                     0.786854                  187                           458                           237                                    126
              0.326062                  1.0786                              1.62935                           1.1729                                      0.922019                  231                           400                           260                                    183
              0.341045                  1.22863                             1.84398                           1.22813                                     0.922084                  260                           441                           260                                    170
              0.492764                  1.22903                             1.55976                           1.20523                                     0.922073                  149                           217                           145                                     87
              0.348562                  1.03911                             1.84399                           1.23688                                     0.682302                  198                           429                           255                                     96
              0.391616                  1.09598                             1.77616                           1.37172                                     1.28661                   180                           354                           250                                    229
              0.341413                  1.33691                             1.70969                           1.52569                                     0.757216                  292                           401                           347                                    122
              0.301868                  0.977618                            1.72342                           1.12351                                     0.92055                   224                           471                           272                                    205
              0.345651                  1.61352                             1.8438                            1.19332                                     0.957136                  367                           433                           245                                    177
              0.396602                  1.22973                             1.57865                           1.19013                                     0.698465                  210                           298                           200                                     76
              0.314758                  0.960902                            1.84296                           1.04457                                     0.694827                  205                           486                           232                                    121
              0.346427                  1.14004                             1.72541                           1.32591                                     0.81795                   229                           398                           283                                    136
              0.319625                  1.12306                             1.83274                           1.4188                                      1.70305                   251                           473                           344                                    433
              0.451615                  1.41484                             1.84338                           1.2288                                      0.921639                  213                           308                           172                                    104
              0.45724                   1.22968                             2.14996                           1.17978                                     0.970543                  169                           370                           158                                    112
              0.439552                  1.09013                             1.583                             1.32365                                     0.698139                  148                           260                           201                                     59
              0.393105                  1.06854                             1.74196                           1.18386                                     0.717716                  172                           343                           201                                     83
              0.43259                   1.12333                             1.72822                           1.239                                       0.733983                  160                           300                           186                                     70
              0.351022                  1.13311                             1.65958                           1.34978                                     0.675408                  223                           373                           285                                     92
              0.340802                  1.13378                             1.74241                           1.2294                                      0.690085                  233                           411                           261                                    102
              0.363818                  0.96687                             1.86866                           1.50785                                     0.680831                  166                           414                           314                                     87
              0.339084                  1.30577                             1.84531                           1.22641                                     0.731683                  285                           444                           262                                    116
              0.311248                  1.27593                             2.0956                            1.22876                                     0.692233                  310                           573                           295                                    122
              0.373471                  1.22805                             1.73962                           1.33208                                     0.922099                  229                           366                           257                                    147
              0.458115                  1.22883                             1.84315                           1.22841                                     0.687406                  168                           302                           168                                     50
              0.376158                  1.15533                             2.20373                           1.5365                                      0.921614                  207                           486                           308                                    145
              0.471603                  1.22936                             1.89249                           1.28744                                     0.709223                  161                           301                           173                                     50
              0.332047                  0.950771                            1.80164                           1.20769                                     1.04326                   186                           443                           264                                    214
              0.383497                  1.11765                             1.69529                           1.43415                                     0.701433                  191                           342                           274                                     83
              0.75665                   1.46337                             1.77426                           1.11856                                     0.750464                   93                           134                            48                                     -1
              0.373072                  1.26824                             1.8565                            1.45137                                     0.729288                  240                           398                           289                                     95
              0.305479                  1.15707                             1.93364                           1.20661                                     0.943484                  279                           533                           295                                    209
              0.320917                  1.03843                             1.85858                           1.19728                                     0.801546                  224                           479                           273                                    150
              0.437592                  1.21681                             1.73771                           1.47284                                     0.683183                  178                           297                           237                                     56
              0.354878                  1.28576                             1.71411                           1.49483                                     0.682953                  262                           383                           321                                     92
              0.347543                  1.29253                             1.59281                           1.18813                                     0.702676                  272                           358                           242                                    102
              0.322334                  0.994766                            1.84231                           1.22847                                     0.832213                  209                           472                           281                                    158
              0.515755                  1.22886                             1.84297                           1.22859                                     0.922045                  138                           257                           138                                     79
              0.764163                  1.22918                             1.52948                           1.23464                                     0.922551                   61                           100                            62                                     21
              0.378401                  0.951194                            1.52438                           1.02231                                     0.639283                  151                           303                           170                                     69
              0.318914                  5.20841                             1.70905                           1.25003                                     0.773782                 1533                           436                           292                                    143
              0.448454                  0.927719                            1.83599                           1.53608                                     0.676079                  107                           309                           243                                     51
              0.385696                  0.976787                            1.78797                           1.22947                                     0.921363                  153                           364                           219                                    139
              0.29723                   1.03324                             1.6383                            0.998835                                    0.67921                   248                           451                           236                                    129
              0.323893                  0.895368                            1.61764                           1.08758                                     0.687826                  176                           399                           236                                    112
              0.332984                  1.12682                             1.79724                           1.07056                                     0.921524                  238                           440                           222                                    177
              0.463556                  1.04393                             1.55534                           1.17495                                     0.7396                    125                           236                           153                                     60
