  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.64264                          0                                  0                           1.06749                                     1.08286                  -100                          -100                            66                                     69
              0.369307                         0                                  0                           1.05786                                     0.921841                 -100                          -100                           186                                    150
              0.566349                         0                                  0                           0.921663                                    0.742144                 -100                          -100                            63                                     31
              0.39517                          0                                  0                           0.88576                                     0.983566                 -100                          -100                           124                                    149
              0.573672                         0                                  0                           1.22903                                     0.921677                 -100                          -100                           114                                     61
              0.563087                         0                                  0                           0.955825                                    0.892857                 -100                          -100                            70                                     59
              0.634892                         0                                  0                           0.922384                                    0.921149                 -100                          -100                            45                                     45
              0.38983                          0                                  0                           0.776841                                    0.735619                 -100                          -100                            99                                     89
              0.326464                         0                                  0                           1.09066                                     0.921369                 -100                          -100                           234                                    182
              0.629276                         0                                  0                           0.921868                                    0.921588                 -100                          -100                            46                                     46
              0.664071                         0                                  0                           0.921434                                    0.921751                 -100                          -100                            39                                     39
              0.647477                         0                                  0                           0.921732                                    0.921106                 -100                          -100                            42                                     42
              0.638271                         0                                  0                           0.921683                                    0.921458                 -100                          -100                            44                                     44
              0.634268                         0                                  0                           0.921757                                    0.921544                 -100                          -100                            45                                     45
              0.623539                         0                                  0                           0.92041                                     0.922913                 -100                          -100                            48                                     48
              0.351699                         0                                  0                           0.874645                                    1.22819                  -100                          -100                           149                                    249
              0.517657                         0                                  0                           0.755003                                    0.883492                 -100                          -100                            46                                     71
              0.639553                         0                                  0                           0.921773                                    0.706035                 -100                          -100                            44                                     10
              0.551215                         0                                  0                           0.921722                                    0.921676                 -100                          -100                            67                                     67
              0.595661                         0                                  0                           0.921785                                    0.921446                 -100                          -100                            55                                     55
              0.650603                         0                                  0                           0.921473                                    0.921533                 -100                          -100                            42                                     42
              0.64955                          0                                  0                           0.922052                                    0.921519                 -100                          -100                            42                                     42
              0.371813                         0                                  0                           0.893031                                    0.920809                 -100                          -100                           140                                    148
              0.638074                         0                                  0                           0.925765                                    0.920428                 -100                          -100                            45                                     44
              0.599793                         0                                  0                           0.921258                                    0.922296                 -100                          -100                            54                                     54
              0.339885                         0                                  0                           0.921478                                    0.855218                 -100                          -100                           171                                    152
              0.403825                         0                                  0                           0.819249                                    1.02448                  -100                          -100                           103                                    154
              0.633926                         0                                  0                           0.921595                                    0.921314                 -100                          -100                            45                                     45
              0.660069                         0                                  0                           0.921655                                    0.921922                 -100                          -100                            40                                     40
              0.32921                          0                                  0                           0.921824                                    0.885429                 -100                          -100                           180                                    169
              0.641381                         0                                  0                           0.921392                                    0.921608                 -100                          -100                            44                                     44
              0.649682                         0                                  0                           0.921085                                    0.921573                 -100                          -100                            42                                     42
              0.347767                         0                                  0                           0.921988                                    0.92141                  -100                          -100                           165                                    165
              0.622238                         0                                  0                           0.748539                                    0.787939                 -100                          -100                            20                                     27
              0.338787                         0                                  0                           1.15337                                     0.734886                 -100                          -100                           240                                    117
              0.340011                         0                                  0                           1.12584                                     0.923445                 -100                          -100                           231                                    172
              0.622338                         0                                  0                           0.921334                                    0.921861                 -100                          -100                            48                                     48
              0.635197                         0                                  0                           0.921672                                    0.739868                 -100                          -100                            45                                     16
              0.510429                         0                                  0                           0.798661                                    1.04363                  -100                          -100                            56                                    104
              0.651821                         0                                  0                           0.921773                                    0.69596                  -100                          -100                            41                                      7
              0.569354                         0                                  0                           0.921957                                    0.922861                 -100                          -100                            62                                     62
              0.635233                         0                                  0                           0.921472                                    0.921549                 -100                          -100                            45                                     45
              0.344233                         0                                  0                           0.805988                                    1.0328                   -100                          -100                           134                                    200
              0.352439                         0                                  0                           0.921481                                    0.746969                 -100                          -100                           161                                    112
              0.37036                          0                                  0                           1.11661                                     0.850027                 -100                          -100                           201                                    130
              0.364568                         0                                  0                           0.901413                                    0.690042                 -100                          -100                           147                                     89
              0.47494                          0                                  0                           0.926114                                    0.921633                 -100                          -100                            95                                     94
              0.639291                         0                                  0                           0.924196                                    0.919292                 -100                          -100                            45                                     44
              0.613232                         0                                  0                           0.921712                                    0.921453                 -100                          -100                            50                                     50
              0.643605                         0                                  0                           1.3668                                      0.784057                 -100                          -100                           112                                     22
              0.652214                         0                                  0                           0.921215                                    0.921948                 -100                          -100                            41                                     41
              0.631723                         0                                  0                           0.921428                                    0.736684                 -100                          -100                            46                                     17
              0.538137                         0                                  0                           0.920997                                    1.22808                  -100                          -100                            71                                    128
              0.496439                         0                                  0                           0.921515                                    0.921831                 -100                          -100                            86                                     86
              0.628259                         0                                  0                           1.22923                                     0.921994                 -100                          -100                            96                                     47
              0.655124                         0                                  0                           0.881661                                    0.9614                   -100                          -100                            35                                     47
              0.557792                         0                                  0                           1.22881                                     0.743545                 -100                          -100                           120                                     33
              0.527142                         0                                  0                           0.876182                                    0.933214                 -100                          -100                            66                                     77
              0.665189                         0                                  0                           0.9215                                      0.921743                 -100                          -100                            39                                     39
              0.638047                         0                                  0                           0.918264                                    0.921406                 -100                          -100                            44                                     44
              0.613933                         0                                  0                           0.922011                                    0.921793                 -100                          -100                            50                                     50
              0.63354                          0                                  0                           1.229                                       0.921597                 -100                          -100                            94                                     45
              0.624801                         0                                  0                           0.921219                                    0.922059                 -100                          -100                            47                                     48
              0.617349                         0                                  0                           0.921424                                    1.53645                  -100                          -100                            49                                    149
              0.661556                         0                                  0                           0.92287                                     0.921233                 -100                          -100                            39                                     39
              0.625925                         0                                  0                           0.920758                                    0.922566                 -100                          -100                            47                                     47
              0.408881                         0                                  0                           0.846688                                    0.921664                 -100                          -100                           107                                    125
              0.547117                         0                                  0                           1.09611                                     1.53649                  -100                          -100                           100                                    181
              0.599312                         0                                  0                           1.22942                                     0.921476                 -100                          -100                           105                                     54
              0.627213                         0                                  0                           1.04174                                     0.801395                 -100                          -100                            66                                     28
              0.637899                         0                                  0                           1.09639                                     1.1649                   -100                          -100                            72                                     83
              0.508627                         0                                  0                           1.22867                                     0.92161                  -100                          -100                           142                                     81
              0.650724                         0                                  0                           1.22933                                     1.2285                   -100                          -100                            89                                     89
              0.606086                         0                                  0                           1.22851                                     0.921829                 -100                          -100                           103                                     52
              0.657658                         0                                  0                           1.22863                                     0.921439                 -100                          -100                            87                                     40
              0.616548                         0                                  0                           0.921779                                    0.921175                 -100                          -100                            50                                     49
              0.617959                         0                                  0                           0.921698                                    0.921504                 -100                          -100                            49                                     49
              0.596992                         0                                  0                           0.920446                                    0.922854                 -100                          -100                            54                                     55
              0.326576                         0                                  0                           1.22901                                     1.22908                  -100                          -100                           276                                    276
              0.568804                         0                                  0                           1.22889                                     0.922189                 -100                          -100                           116                                     62
              0.647503                         0                                  0                           1.2294                                      0.921399                 -100                          -100                            90                                     42
              0.625999                         0                                  0                           0.922032                                    0.921846                 -100                          -100                            47                                     47
              0.3538                           0                                  0                           0.880486                                    0.921253                 -100                          -100                           149                                    160
              0.588041                         0                                  0                           1.22888                                     1.0201                   -100                          -100                           109                                     73
              0.511132                         0                                  0                           0.921871                                    0.921942                 -100                          -100                            80                                     80
              0.49128                          0                                  0                           1.22895                                     1.23028                  -100                          -100                           150                                    150
              0.494858                         0                                  0                           0.833647                                    0.780859                 -100                          -100                            68                                     58
              0.387055                         0                                  0                           0.813455                                    0.920664                 -100                          -100                           110                                    138
              0.638984                         0                                  0                           0.859609                                    0.983336                 -100                          -100                            35                                     54
              1.54954                          0                                  0                           0.921164                                    0.89424                  -100                          -100                           -41                                    -42
              0.549803                         0                                  0                           0.925328                                    0.802662                 -100                          -100                            68                                     46
              0.524395                         0                                  0                           0.921972                                    1.19919                  -100                          -100                            76                                    129
              0.613666                         0                                  0                           1.42148                                     0.729025                 -100                          -100                           132                                     19
              0.451257                         0                                  0                           1.09123                                     1.22889                  -100                          -100                           142                                    172
              0.618916                         0                                  0                           1.22922                                     0.921398                 -100                          -100                            99                                     49
              0.627103                         0                                  0                           1.22916                                     0.921892                 -100                          -100                            96                                     47
              0.62351                          0                                  0                           0.921625                                    0.921906                 -100                          -100                            48                                     48
              0.540577                         0                                  0                           1.22996                                     0.921183                 -100                          -100                           128                                     70
              0.618226                         0                                  0                           0.9218                                      0.922059                 -100                          -100                            49                                     49
              0.786625                         0                                  0                           0.826408                                    0.901873                 -100                          -100                             5                                     15
              0.604845                         0                                  0                           0.921454                                    1.22868                  -100                          -100                            52                                    103
              0.625108                         0                                  0                           0.923037                                    0.716906                 -100                          -100                            48                                     15
              0.535678                         0                                  0                           0.922271                                    0.921546                 -100                          -100                            72                                     72
              0.632399                         0                                  0                           0.921725                                    0.921201                 -100                          -100                            46                                     46
              0.616483                         0                                  0                           0.788424                                    0.746221                 -100                          -100                            28                                     21
              0.598981                         0                                  0                           1.22862                                     0.921977                 -100                          -100                           105                                     54
