  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.677754                         0                                  0                           1.35189                                    42.3249                   -100                          -100                            99                                   6145
              0.660562                         0                                  0                           1.19994                                     1.25817                  -100                          -100                            82                                     90
              0.576785                         0                                  0                           1.22857                                     1.22942                  -100                          -100                           113                                    113
              0.619755                         0                                  0                           1.22869                                     1.22871                  -100                          -100                            98                                     98
              0.556961                         0                                  0                           1.25595                                     1.20157                  -100                          -100                           126                                    116
              0.619132                         0                                  0                           1.2287                                      1.22849                  -100                          -100                            98                                     98
              0.617065                         0                                  0                           1.14466                                     1.15742                  -100                          -100                            86                                     88
              0.735402                         0                                  0                           1.2302                                      1.15625                  -100                          -100                            67                                     57
              0.429745                         0                                  0                           1.01162                                     1.02253                  -100                          -100                           135                                    138
              0.38457                          0                                  0                           1.19486                                     1.2286                   -100                          -100                           211                                    219
              0.42516                          0                                  0                           1.12584                                     1.22906                  -100                          -100                           165                                    189
              0.958902                         0                                  0                           1.22918                                     1.22851                  -100                          -100                            28                                     28
              0.641121                         0                                  0                           1.22834                                     1.27204                  -100                          -100                            92                                     98
              0.572717                         0                                  0                           1.22835                                     1.53629                  -100                          -100                           114                                    168
              0.651579                         0                                  0                           1.22881                                     1.2292                   -100                          -100                            89                                     89
              0.446458                         0                                  0                           1.12669                                     1.22881                  -100                          -100                           152                                    175
              0.661318                         0                                  0                           1.22871                                     1.22871                  -100                          -100                            86                                     86
              0.633116                         0                                  0                           1.22921                                     1.22814                  -100                          -100                            94                                     94
              0.606548                         0                                  0                           1.22886                                     1.22936                  -100                          -100                           103                                    103
              0.652149                         0                                  0                           1.2291                                      1.22826                  -100                          -100                            88                                     88
              0.653719                         0                                  0                           1.22893                                     1.53594                  -100                          -100                            88                                    135
              0.631242                         0                                  0                           1.2287                                      1.22852                  -100                          -100                            95                                     95
              0.616602                         0                                  0                           1.22839                                     1.22835                  -100                          -100                            99                                     99
              0.658734                         0                                  0                           1.22948                                     1.53597                  -100                          -100                            87                                    133
              0.649465                         0                                  0                           1.01991                                     1.43767                  -100                          -100                            57                                    121
              0.645997                         0                                  0                           1.15379                                     1.30401                  -100                          -100                            79                                    102
              0.631039                         0                                  0                           1.22836                                     1.22989                  -100                          -100                            95                                     95
              0.649386                         0                                  0                           1.22862                                     1.22822                  -100                          -100                            89                                     89
              0.653236                         0                                  0                           1.22955                                     1.17236                  -100                          -100                            88                                     79
              0.681421                         0                                  0                           1.22965                                     1.2366                   -100                          -100                            80                                     81
              0.628593                         0                                  0                           1.05841                                     0.984518                 -100                          -100                            68                                     57
              0.598171                         0                                  0                           1.22857                                     1.22922                  -100                          -100                           105                                    105
              0.64425                          0                                  0                           1.22884                                     1.22919                  -100                          -100                            91                                     91
              0.647962                         0                                  0                           1.22881                                     1.2284                   -100                          -100                            90                                     90
              0.639086                         0                                  0                           0.984716                                    1.16558                  -100                          -100                            54                                     82
              0.648117                         0                                  0                           1.22962                                     1.22849                  -100                          -100                            90                                     90
              0.638939                         0                                  0                           0.961276                                    1.18829                  -100                          -100                            50                                     86
              0.617918                         0                                  0                           1.22895                                     1.2292                   -100                          -100                            99                                     99
              0.648034                         0                                  0                           1.22877                                     1.22809                  -100                          -100                            90                                     90
              0.390047                         0                                  0                           1.06792                                     1.35882                  -100                          -100                           174                                    248
              0.641876                         0                                  0                           1.22857                                     1.22917                  -100                          -100                            91                                     91
              0.653684                         0                                  0                           1.2288                                      1.22918                  -100                          -100                            88                                     88
              0.62286                          0                                  0                           1.23447                                     1.22962                  -100                          -100                            98                                     97
              0.547213                         0                                  0                           1.02385                                     1.13134                  -100                          -100                            87                                    107
              0.437863                         0                                  0                           1.22865                                     1.22888                  -100                          -100                           181                                    181
              0.614707                         0                                  0                           1.22953                                     1.22814                  -100                          -100                           100                                    100
              0.664751                         0                                  0                           1.22957                                     1.2285                   -100                          -100                            85                                     85
              0.639992                         0                                  0                           1.22898                                     1.53628                  -100                          -100                            92                                    140
              0.407444                         0                                  0                           1.18039                                     1.22885                  -100                          -100                           190                                    202
              0.659755                         0                                  0                           1.22813                                     1.22827                  -100                          -100                            86                                     86
