  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.7795                     1.3603                             48.5397                            1.22808                                     43.9311                   75                          6127                            58                                   5536
              0.631683                   1.22894                            48.5398                            1.11837                                     44.3336                   95                          7584                            77                                   6918
              0.736766                   1.09247                            46.6851                            1.22826                                     40.6544                   48                          6236                            67                                   5418
              0.573207                   1.53652                            48.4358                            1.12664                                     53.0444                  168                          8350                            97                                   9154
              0.554                      1.28019                            43.9309                            1.22746                                     46.6955                  131                          7830                           122                                   8329
              0.64829                    1.22861                            48.2317                            1.22859                                     44.8523                   90                          7340                            90                                   6819
              0.617699                   1.12704                            51.4056                            1.01311                                     44.4127                   82                          8222                            64                                   7090
              0.488854                   1.14329                            47.2118                            1.04506                                     46.9774                  134                          9558                           114                                   9510
              0.633191                   1.22862                            43.3164                            1.22871                                     43.2151                   94                          6741                            94                                   6725
              0.468253                   1.12694                            43.1114                            1.09171                                     49.2231                  141                          9107                           133                                  10412
              0.651101                   1.23462                            44.7227                            1.35143                                     45.7184                   90                          6769                           108                                   6922
              0.686548                   1.2312                             47.9836                            1.16849                                     48.8455                   79                          6889                            70                                   7015
              0.638912                   1.23026                            48.5382                            1.2276                                      44.2388                   93                          7497                            92                                   6824
              0.66869                    1.22966                            49.3759                            1.31826                                     47.9244                   84                          7284                            97                                   7067
              0.538882                   1.02379                            48.5393                            1.22868                                     44.1121                   90                          8907                           128                                   8086
              0.614977                   1.11708                            43.0088                            1.22882                                     47.8689                   82                          6894                           100                                   7684
              0.689748                   1.22857                            49.1533                            1.5367                                      45.1585                   78                          7026                           123                                   6447
              0.668104                   1.0972                             50.2046                            1.22888                                     47.9262                   64                          7414                            84                                   7073
              0.599268                   1.22937                            44.8534                            1.2273                                      43.0086                  105                          7385                           105                                   7077
              0.631101                   1.22953                            48.2311                            1.22911                                     52.2251                   95                          7542                            95                                   8175
