  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              1.19288                   1.53521                             22.4248                           1.22883                                      19.961                    29                          1780                             3                                   1573
              0.586426                  1.2283                              22.8541                           0.939763                                     21.98                    109                          3797                            60                                   3648
              0.645355                  0.921496                            20.5831                           1.22832                                      23.041                    43                          3089                            90                                   3470
              0.837333                  1.20742                             21.833                            1.22865                                      23.3233                   44                          2507                            47                                   2685
              0.486061                  0.981461                            21.5046                           0.921423                                     24.2691                  102                          4324                            90                                   4893
              0.604225                  0.92122                             24.5755                           1.22918                                      21.1968                   52                          3967                           103                                   3408
              0.684285                  0.920555                            20.8909                           0.92165                                      20.5827                   35                          2953                            35                                   2908
              0.585904                  0.800955                            22.2398                           0.921289                                     23.6551                   37                          3696                            57                                   3937
              0.640175                  0.932449                            20.2643                           0.921051                                     23.0408                   46                          3065                            44                                   3499
              0.627395                  0.921734                            22.5283                           0.921617                                     23.0411                   47                          3491                            47                                   3572
              0.622368                  0.921823                            21.5045                           1.84353                                      22.7327                   48                          3355                           196                                   3553
              0.701054                  0.921579                            21.8117                           0.921648                                     24.5765                   31                          3011                            31                                   3406
              0.495968                  1.15344                             23.6074                           0.968616                                     24.5768                  133                          4660                            95                                   4855
              0.650107                  1.22908                             24.2687                           1.22953                                      24.203                    89                          3633                            89                                   3623
              0.515216                  0.760299                            25.1251                           1.04068                                      24.5769                   48                          4777                           102                                   4670
              0.681384                  0.921392                            22.1187                           0.921641                                     22.4247                   35                          3146                            35                                   3191
              0.569184                  0.920333                            20.5758                           1.53554                                      21.8104                   62                          3515                           170                                   3732
              0.771252                  0.921667                            23.3473                           0.921608                                     23.0401                   20                          2927                            19                                   2887
              0.688928                  0.921846                            24.0688                           1.12145                                      23.9622                   34                          3394                            63                                   3378
              0.664124                  1.22867                             23.0406                           0.921298                                     22.7329                   85                          3369                            39                                   3323
