  Native SELECT (secs)    External SELECT (secs)    External With HPS SELECT (secs)    External Big Lake SELECT (secs)    External Big Lake With HPS SELECT (secs)    External % Slower    External With HPS % Slower    External Big Lake % Slower    External Big Lake With HPS % Slower
----------------------  ------------------------  ---------------------------------  ---------------------------------  ------------------------------------------  -------------------  ----------------------------  ----------------------------  -------------------------------------
              0.531389                         0                                  0                           1.31967                                     0.809599                 -100                          -100                           148                                     52
              0.454914                         0                                  0                           1.22936                                     0.921229                 -100                          -100                           170                                    103
              0.310219                         0                                  0                           1.25318                                     0.770893                 -100                          -100                           304                                    148
              0.487686                         0                                  0                           1.05592                                     0.787639                 -100                          -100                           117                                     62
              0.620954                         0                                  0                           1.10912                                     0.732177                 -100                          -100                            79                                     18
              0.308876                         0                                  0                           1.04283                                     0.798361                 -100                          -100                           238                                    158
              0.58104                          0                                  0                           1.21092                                     0.939584                 -100                          -100                           108                                     62
              0.319618                         0                                  0                           1.22928                                     0.656386                 -100                          -100                           285                                    105
              0.592847                         0                                  0                           1.22804                                     0.637068                 -100                          -100                           107                                      7
              0.325476                         0                                  0                           1.04279                                     0.681474                 -100                          -100                           220                                    109
              0.368378                         0                                  0                           1.22835                                     0.922053                 -100                          -100                           233                                    150
              0.288023                         0                                  0                           1.06582                                     0.834473                 -100                          -100                           270                                    190
              0.344478                         0                                  0                           1.03753                                     0.67093                  -100                          -100                           201                                     95
              0.291073                         0                                  0                           1.31026                                     0.921767                 -100                          -100                           350                                    217
              0.298775                         0                                  0                           1.09087                                     0.652874                 -100                          -100                           265                                    119
              0.328546                         0                                  0                           1.06927                                     0.921662                 -100                          -100                           225                                    181
              0.31224                          0                                  0                           1.23197                                     0.672165                 -100                          -100                           295                                    115
              0.571862                         0                                  0                           1.13792                                     0.700563                 -100                          -100                            99                                     23
              0.333924                         0                                  0                           1.05814                                     0.847734                 -100                          -100                           217                                    154
              0.346734                         0                                  0                           1.22912                                     0.921583                 -100                          -100                           254                                    166
              0.291359                         0                                  0                           1.28544                                     0.630059                 -100                          -100                           341                                    116
              0.624123                         0                                  0                           1.04229                                     0.80255                  -100                          -100                            67                                     29
              0.346191                         0                                  0                           0.996486                                    0.848827                 -100                          -100                           188                                    145
              0.319722                         0                                  0                           0.996388                                    0.847122                 -100                          -100                           212                                    165
              0.342175                         0                                  0                           1.22896                                     0.921637                 -100                          -100                           259                                    169
              0.330338                         0                                  0                           1.15296                                     0.618222                 -100                          -100                           249                                     87
              0.637996                         0                                  0                           1.22889                                     0.921184                 -100                          -100                            93                                     44
              0.514817                         0                                  0                           1.03194                                     0.8108                   -100                          -100                           100                                     57
              0.358964                         0                                  0                           1.22939                                     0.663695                 -100                          -100                           242                                     85
              0.305192                         0                                  0                           1.06361                                     0.634884                 -100                          -100                           249                                    108
              0.448961                         0                                  0                           0.97939                                     0.673274                 -100                          -100                           118                                     50
              0.324143                         0                                  0                           1.04684                                     0.67244                  -100                          -100                           223                                    107
              0.313611                         0                                  0                           1.2956                                      0.855039                 -100                          -100                           313                                    173
              0.315607                         0                                  0                           1.03381                                     0.62661                  -100                          -100                           228                                     99
